wav_filename,wav_filesize,transcript
/home/nam/Desktop/data_test/test/turn_left_33.wav,63532,turn left
/home/nam/Desktop/data_test/test/put_your_hand_up_19.wav,63532,put your hand up
/home/nam/Desktop/data_test/test/are_you_married_44.wav,94252,are you married
/home/nam/Desktop/data_test/test/turn_left_7.wav,63532,turn left
/home/nam/Desktop/data_test/test/hello_my_name_is_nam_12.wav,94252,hello my name is nam
/home/nam/Desktop/data_test/test/move_forward_14.wav,63532,move forward
/home/nam/Desktop/data_test/test/do_you_know_me_116.wav,63532,do you know me
/home/nam/Desktop/data_test/test/can_you_follow_me_21.wav,94252,can you follow me
/home/nam/Desktop/data_test/test/go_ahead_49.wav,63532,go ahead
/home/nam/Desktop/data_test/test/come_with_me_52.wav,63532,come with me
/home/nam/Desktop/data_test/test/move_198.wav,63532,move
/home/nam/Desktop/data_test/test/im_fine_thank_you_2.wav,63532,i am fine thank you
/home/nam/Desktop/data_test/test/hello_my_name_is_nam_31.wav,94252,hello my name is nam
/home/nam/Desktop/data_test/test/do_you_know_me_108.wav,63532,do you know me
/home/nam/Desktop/data_test/test/do_you_know_where_you_are_33.wav,94252,do you know where you are
/home/nam/Desktop/data_test/test/what_is_your_name_73.wav,63532,what is your name
/home/nam/Desktop/data_test/test/come_with_me_81.wav,63532,come with me
/home/nam/Desktop/data_test/test/i_am_a_student_at_international_university_8.wav,127020,i am a student at international university
/home/nam/Desktop/data_test/test/hello_70.wav,63532,hello
/home/nam/Desktop/data_test/test/do_you_know_me_118.wav,63532,do you know me
/home/nam/Desktop/data_test/test/come_with_me_15.wav,63532,come with me
/home/nam/Desktop/data_test/test/have_a_good_time_36.wav,94252,have a good time
/home/nam/Desktop/data_test/test/move_behind_115.wav,63532,move behind
/home/nam/Desktop/data_test/test/im_fine_thank_you_7.wav,63532,i am fine thank you
/home/nam/Desktop/data_test/test/hello_my_name_is_nam_38.wav,94252,hello my name is nam
/home/nam/Desktop/data_test/test/come_with_me_69.wav,63532,come with me
/home/nam/Desktop/data_test/test/turn_to_the_right_23.wav,63532,turn to the right
/home/nam/Desktop/data_test/test/forward_54.wav,63532,forward
/home/nam/Desktop/data_test/test/do_you_know_where_you_are_13.wav,94252,do you know where you are
/home/nam/Desktop/data_test/test/go_ahead_20.wav,63532,go ahead
/home/nam/Desktop/data_test/test/move_forward_194.wav,63532,move forward
/home/nam/Desktop/data_test/test/hello_115.wav,63532,hello
/home/nam/Desktop/data_test/test/im_so_boring_17.wav,63532,i am so boring
/home/nam/Desktop/data_test/test/follow_me_93.wav,63532,follow me
/home/nam/Desktop/data_test/test/goodbye_see_you_later_12.wav,63532,goodbye see you later
/home/nam/Desktop/data_test/test/stop_talking_18.wav,63532,stop talking
/home/nam/Desktop/data_test/test/do_you_know_where_you_are_54.wav,94252,do you know where you are
/home/nam/Desktop/data_test/test/how_are_you_today_44.wav,63532,how are you today
/home/nam/Desktop/data_test/test/come_with_me_61.wav,63532,come with me
